temperature,humidity,surface moisture,smoke,CAUTION
29.22,75,0.29,1,1
29.59,75,0.28,0,0
29.9,74,0.28,0,0
29.41,77,0.28,0,0
28.47,84,0.28,0,0
27.47,91,0.29,0,0
27.18,92,0.29,0,0
26.55,94,0.28,0,0
26.17,94,0.28,0,0
26.08,91,0.28,0,0
25.91,90,0.29,0,0
25.69,88,0.29,0,0
25.33,87,0.29,0,0
24.9,87,0.29,0,0
24.53,87,0.28,0,0
24.27,89,0.28,0,0
24.13,88,0.28,0,0
24.02,87,0.28,0,0
24.02,87,0.28,0,0
24.53,87,0.28,0,0
26.5,87,0.28,0,0
27.88,79,0.28,0,0
29.27,75,0.28,1,1
30.71,69,0.28,0,0
30.66,72,0.28,0,0
28.87,81,0.29,0,0
29.54,80,0.29,0,0
28.88,81,0.3,0,0
28.15,87,0.29,0,0
27.99,84,0.29,0,0
27.37,87,0.29,0,0
26.82,90,0.29,0,0
26.46,91,0.29,0,0
26.13,91,0.29,0,0
25.91,91,0.29,0,0
25.61,91,0.29,0,0
25.19,93,0.29,0,0
24.58,93,0.29,0,0
24.19,92,0.29,0,0
23.76,92,0.29,0,0
23.4,92,0.29,0,0
23.18,91,0.29,0,0
22.98,90,0.29,0,0
23.51,89,0.28,0,0
26.24,87,0.28,0,0
28.41,77,0.28,0,0
29.42,74,0.28,0,0
29.96,72,0.28,0,0
30.16,75,0.28,0,0
28.53,82,0.28,0,0
29.81,76,0.28,1,1
29.44,81,0.28,0,0
29.18,82,0.28,0,0
28.99,79,0.28,0,0
28.71,81,0.28,0,0
27.82,86,0.28,0,0
27.21,88,0.28,0,0
26.87,88,0.28,0,0
26.96,87,0.29,0,0
26.87,85,0.29,0,0
26.78,84,0.3,0,0
26.18,86,0.29,0,0
25.82,87,0.29,0,0
25.3,89,0.29,0,0
25.08,88,0.29,0,0
24.82,89,0.29,0,0
24.68,89,0.29,0,0
25.05,89,0.29,0,0
27.24,83,0.28,0,0
28.88,76,0.29,0,0
30.14,71,0.29,0,0
30.91,70,0.29,0,0
31.85,64,0.29,1,1
32.19,64,0.29,1,1
32.3,69,0.29,0,0
29.95,73,0.29,0,1
29.28,76,0.29,0,0
28.22,81,0.28,0,0
28.54,79,0.28,0,0
27.41,86,0.28,0,0
26.83,87,0.28,0,0
26.66,87,0.29,0,0
26.47,87,0.29,0,0
26.33,87,0.3,0,0
25.82,88,0.3,0,0
25.42,87,0.3,0,0
25.08,88,0.29,0,0
24.79,89,0.29,0,0
24.57,87,0.29,0,0
24.4,87,0.29,0,0
24.34,87,0.29,0,0
24.86,87,0.29,0,0
27.27,82,0.29,0,0
28.86,76,0.29,0,0
30,72,0.29,0,0
31.01,69,0.29,1,1
30.67,68,0.29,0,0
29.95,76,0.29,0,0
28.77,83,0.29,0,0
